7251	5046	
9591	191	
8729	4058	
1228	4363	
2178	7683	
7730	7993	
8228	1097	
8973	2329	
5282	7793	
8850	281	
1030	3030	
7019	999	
746	214	
6805	9409	
8755	2579	
6278	5736	
4059	5370	
830	3091	
6906	9216	
7481	4768	
9919	1256	
1133	3349	
7440	9058	
3415	7205	
6780	1918	
1501	6622	
9929	2413	
2623	9934	
8608	6232	
6318	1750	
193	2266	
7561	1015	
5011	8280	
3329	6969	
5340	9393	
8776	7819	
5690	8097	
8394	3172	
2060	6783	
1847	840	
2416	3222	
9373	3382	
57	6929	
7214	6222	
5660	1120	
4259	5360	
4215	4103	
5373	2896	
4639	3941	
1043	9525	
7653	2034	
4093	1152	
7829	5953	
476	842	
6458	6693	
4244	5462	
6081	7856	
3991	6998	
4376	8934	
1710	5706	
1411	1553	
2615	6131	
8139	9486	
4582	2933	
3155	7812	
4585	4043	
1128	133	
7309	8516	
6356	6940	
2694	6555	
2736	4422	
5455	5092	
1748	8830	
574	7426	
5932	7217	
5459	1014	
6536	48	
4941	5586	
4736	9187	
1529	4572	
6970	9512	
4030	4186	
5327	8795	
3418	7900	
4263	5854	
5226	1393	
1240	4542	
2309	8284	
965	2568	
878	3304	
404	7424	
1191	4640	
1488	4955	
4483	8522	
1866	3337	
9976	1777	
5482	2482	
6157	2356	
2652	3846	
4145	6022	
518	4204	
9697	7758	
5940	7902	
8718	1208	
2936	3230	
8208	8756	
6617	3312	
1967	7094	
2947	4552	
8765	5735	
1867	4302	
2291	8777	
1580	4878	
9991	5656	
9379	4476	
215	1836	
5555	8837	
1205	2651	
8886	8049	
1998	5339	
3489	7685	
6120	4789	
1715	741	
8904	3621	
1850	6182	
94	6142	
5074	7472	
2493	7195	
7082	5491	
8075	6511	
7828	2657	
9153	5742	
1705	7849	
5551	3621	
2455	5204	
7348	6393	
2296	9045	
9580	3441	
7834	4848	
2706	180	
7760	5231	
4419	6530	
6229	8883	
1235	1104	
3205	8285	
836	8360	
7284	6367	
4829	7516	
469	4174	
4268	5690	
1671	4244	
9922	8907	
361	6955	
7080	5876	
7563	3681	
7333	7436	
742	891	
592	8014	
889	453	
402	6185	
6801	7575	
9062	7781	
3907	3380	
4176	7409	
